Date,Weekday,Atorvastatin,Dapagliflozin,Metformin
2025-07-24,Thursday - for Friday (mg):,1400,160,41500
2025-07-25,Friday - for Saturday (mg):,1360,155,39500
2025-07-26,Saturday - for Sunday (mg):,1320,150,37500
2025-07-27,Sunday - for Monday (mg):,1280,145,35500
2025-07-28,Monday - for Tuesday (mg):,1240,140,33500
2025-07-29,Tuesday - for Wednesday (mg):,1200,135,31500
2025-07-30,Wednesday - for Thursday (mg):,1160,130,29500
2025-07-31,Thursday - for Friday (mg):,1120,125,27500
2025-08-01,Friday - for Saturday (mg):,1080,120,25500
2025-08-02,Saturday - for Sunday (mg):,1040,115,23500
2025-08-03,Sunday - for Monday (mg):,1000,110,21500
2025-08-04,Monday - for Tuesday (mg):,960,105,19500
2025-08-05,Tuesday - for Wednesday (mg):,920,100,17500
2025-08-06,Wednesday - for Thursday (mg):,880,95,15500
2025-08-07,Thursday - for Friday (mg):,840,90,13500
2025-08-08,Friday - for Saturday (mg):,800,85,67500
2025-08-09,Saturday - for Sunday (mg):,760,80,65500
2025-08-10,Sunday - for Monday (mg):,720,75,63500
2025-08-11,Monday - for Tuesday (mg):,680,70,61500
2025-08-12,Tuesday - for Wednesday (mg):,640,65,59500
2025-08-13,Wednesday - for Thursday (mg):,600,60,57500
2025-08-14,Thursday - for Friday (mg):,560,55,55500
2025-08-15,Friday - for Saturday (mg):,520,50,53500
2025-08-16,Saturday - for Sunday (mg):,480,45,51500
2025-08-17,Sunday - for Monday (mg):,440,40,49500
2025-08-18,Monday - for Tuesday (mg):,400,35,47500
2025-08-19,Tuesday - for Wednesday (mg):,1480,170,45500
2025-08-20,Wednesday - for Thursday (mg):,1440,165,43500
2025-08-21,Thursday - for Friday (mg):,1400,160,41500
2025-08-22,Friday - for Saturday (mg):,1360,155,39500
2025-08-23,Saturday - for Sunday (mg):,1320,150,37500
2025-08-24,Sunday - for Monday (mg):,1280,145,35500
2025-08-25,Monday - for Tuesday (mg):,1240,140,33500
2025-08-26,Tuesday - for Wednesday (mg):,1200,135,31500
2025-08-27,Wednesday - for Thursday (mg):,1160,130,29500
2025-08-28,Thursday - for Friday (mg):,1120,125,27500
2025-08-29,Friday - for Saturday (mg):,1080,120,25500
2025-08-30,Saturday - for Sunday (mg):,1040,115,23500
2025-08-31,Sunday - for Monday (mg):,1000,110,21500
2025-09-01,Monday - for Tuesday (mg):,960,105,19500
2025-09-02,Tuesday - for Wednesday (mg):,2040,240,73500
2025-09-03,Wednesday - for Thursday (mg):,2000,235,71500
2025-09-04,Thursday - for Friday (mg):,1960,230,69500
2025-09-05,Friday - for Saturday (mg):,1920,225,67500
2025-09-06,Saturday - for Sunday (mg):,1880,220,65500
2025-09-07,Sunday - for Monday (mg):,1840,215,63500
2025-09-08,Monday - for Tuesday (mg):,1800,210,61500
2025-09-09,Tuesday - for Wednesday (mg):,1760,205,59500
2025-09-10,Wednesday - for Thursday (mg):,1720,200,57500
2025-09-11,Thursday - for Friday (mg):,1680,195,55500
2025-09-12,Friday - for Saturday (mg):,1640,190,53500
2025-09-13,Saturday - for Sunday (mg):,1600,185,51500
2025-09-14,Sunday - for Monday (mg):,1560,180,49500
2025-09-15,Monday - for Tuesday (mg):,1520,175,47500
2025-09-16,Tuesday - for Wednesday (mg):,1480,170,45500
2025-09-17,Wednesday - for Thursday (mg):,1440,165,43500
2025-09-18,Thursday - for Friday (mg):,1400,160,41500
2025-09-19,Friday - for Saturday (mg):,1360,155,39500
2025-09-20,Saturday - for Sunday (mg):,1320,150,37500
2025-09-21,Sunday - for Monday (mg):,1280,145,35500
2025-09-22,Monday - for Tuesday (mg):,1240,140,33500
2025-09-23,Tuesday - for Wednesday (mg):,1200,135,31500
2025-09-24,Wednesday - for Thursday (mg):,1160,130,29500
2025-09-25,Thursday - for Friday (mg):,1120,125,27500
2025-09-26,Friday - for Saturday (mg):,1080,120,25500
2025-09-27,Saturday - for Sunday (mg):,1040,115,23500
2025-09-28,Sunday - for Monday (mg):,1000,110,21500
2025-09-29,Monday - for Tuesday (mg):,960,105,19500
2025-09-30,Tuesday - for Wednesday (mg):,920,100,17500
2025-10-01,Wednesday - for Thursday (mg):,880,95,71500
2025-10-02,Thursday - for Friday (mg):,840,90,69500
2025-10-03,Friday - for Saturday (mg):,800,85,67500
2025-10-04,Saturday - for Sunday (mg):,760,80,65500
2025-10-05,Sunday - for Monday (mg):,720,75,63500
2025-10-06,Monday - for Tuesday (mg):,680,70,61500
2025-10-07,Tuesday - for Wednesday (mg):,640,65,59500
2025-10-08,Wednesday - for Thursday (mg):,600,60,57500
2025-10-09,Thursday - for Friday (mg):,560,55,55500
2025-10-10,Friday - for Saturday (mg):,520,50,53500
2025-10-11,Saturday - for Sunday (mg):,480,45,51500
2025-10-12,Sunday - for Monday (mg):,440,40,49500
2025-10-13,Monday - for Tuesday (mg):,1520,175,47500
2025-10-14,Tuesday - for Wednesday (mg):,1480,170,45500
2025-10-15,Wednesday - for Thursday (mg):,1440,165,43500
2025-10-16,Thursday - for Friday (mg):,1400,160,41500
2025-10-17,Friday - for Saturday (mg):,1360,155,39500
2025-10-18,Saturday - for Sunday (mg):,1320,150,37500
2025-10-19,Sunday - for Monday (mg):,1280,145,35500
2025-10-20,Monday - for Tuesday (mg):,1240,140,33500
2025-10-21,Tuesday - for Wednesday (mg):,1200,135,31500
2025-10-22,Wednesday - for Thursday (mg):,1160,130,29500
2025-10-23,Thursday - for Friday (mg):,1120,125,27500
2025-10-24,Friday - for Saturday (mg):,1080,120,25500
2025-10-25,Saturday - for Sunday (mg):,1040,115,23500
2025-10-26,Sunday - for Monday (mg):,1000,110,21500
2025-10-27,Monday - for Tuesday (mg):,960,105,19500
2025-10-28,Tuesday - for Wednesday (mg):,920,100,17500
2025-10-29,Wednesday - for Thursday (mg):,880,95,15500
2025-10-30,Thursday - for Friday (mg):,840,90,13500
2025-10-31,Friday - for Saturday (mg):,800,85,11500
2025-11-01,Saturday - for Sunday (mg):,760,80,9500
2025-11-02,Sunday - for Monday (mg):,720,75,7500
2025-11-03,Monday - for Tuesday (mg):,680,70,6000
2025-11-04,Tuesday - for Wednesday (mg):,640,65,4000
2025-11-05,Wednesday - for Thursday (mg):,1720,200,58000
2025-11-06,Thursday - for Friday (mg):,1680,195,56000
2025-11-07,Friday - for Saturday (mg):,1640,190,54000
2025-11-08,Saturday - for Sunday (mg):,1600,185,52000
2025-11-09,Sunday - for Monday (mg):,1560,180,50000
2025-11-10,Monday - for Tuesday (mg):,1520,175,48000
2025-11-11,Tuesday - for Wednesday (mg):,1480,170,46000
2025-11-12,Wednesday - for Thursday (mg):,1440,165,44000
2025-11-13,Thursday - for Friday (mg):,1400,160,42000
2025-11-14,Friday - for Saturday (mg):,1360,155,40000
2025-11-15,Saturday - for Sunday (mg):,1320,150,38000
2025-11-16,Sunday - for Monday (mg):,1280,145,36000
2025-11-17,Monday - for Tuesday (mg):,1240,140,34000
2025-11-18,Tuesday - for Wednesday (mg):,1200,135,32000
2025-11-19,Wednesday - for Thursday (mg):,1160,130,30000
2025-11-20,Thursday - for Friday (mg):,1120,125,28000
2025-11-21,Friday - for Saturday (mg):,1080,120,26000
2025-11-22,Saturday - for Sunday (mg):,1040,115,24000
2025-11-23,Sunday - for Monday (mg):,1000,110,22000
2025-11-24,Monday - for Tuesday (mg):,960,105,20000
2025-11-25,Tuesday - for Wednesday (mg):,920,100,18000
2025-11-26,Wednesday - for Thursday (mg):,880,95,16000
2025-11-27,Thursday - for Friday (mg):,840,90,14000
2025-11-28,Friday - for Saturday (mg):,800,85,12000
2025-11-29,Saturday - for Sunday (mg):,760,80,10000
2025-11-30,Sunday - for Monday (mg):,720,75,8000
2025-12-01,Monday - for Tuesday (mg):,680,70,6000
2025-12-02,Tuesday - for Wednesday (mg):,1760,205,60000
2025-12-03,Wednesday - for Thursday (mg):,1720,200,58000
2025-12-04,Thursday - for Friday (mg):,1680,195,56000
2025-12-05,Friday - for Saturday (mg):,1640,190,54000
2025-12-06,Saturday - for Sunday (mg):,1600,185,52000
2025-12-07,Sunday - for Monday (mg):,1560,180,50000
2025-12-08,Monday - for Tuesday (mg):,1520,175,48000
2025-12-09,Tuesday - for Wednesday (mg):,1480,170,46000
2025-12-10,Wednesday - for Thursday (mg):,1440,165,44000
2025-12-11,Thursday - for Friday (mg):,1400,160,42000
2025-12-12,Friday - for Saturday (mg):,2480,295,96000
2025-12-13,Saturday - for Sunday (mg):,2440,290,94000
2025-12-14,Sunday - for Monday (mg):,2400,285,92000
2025-12-15,Monday - for Tuesday (mg):,2360,280,90000
2025-12-16,Tuesday - for Wednesday (mg):,2320,275,88000
2025-12-17,Wednesday - for Thursday (mg):,2280,270,86000
2025-12-18,Thursday - for Friday (mg):,2240,265,84000
2025-12-19,Friday - for Saturday (mg):,2200,260,82000
2025-12-20,Saturday - for Sunday (mg):,2160,255,80000
2025-12-21,Sunday - for Monday (mg):,2120,250,78000
2025-12-22,Monday - for Tuesday (mg):,2080,245,76000
2025-12-23,Tuesday - for Wednesday (mg):,2040,240,74000
2025-12-24,Wednesday - for Thursday (mg):,2000,235,72000
2025-12-25,Thursday - for Friday (mg):,1960,230,70000
2025-12-26,Friday - for Saturday (mg):,1920,225,68000
2025-12-27,Saturday - for Sunday (mg):,1880,220,66000
2025-12-28,Sunday - for Monday (mg):,1840,215,64000
2025-12-29,Monday - for Tuesday (mg):,1800,210,62000
2025-12-30,Tuesday - for Wednesday (mg):,1760,205,60000
2025-12-31,Wednesday - for Thursday (mg):,1720,200,58000
2026-01-01,Thursday - for Friday (mg):,1680,195,56000
2026-01-02,Friday - for Saturday (mg):,1640,190,54000
2026-01-03,Saturday - for Sunday (mg):,1600,185,52000
2026-01-04,Sunday - for Monday (mg):,1560,180,50000
2026-01-05,Monday - for Tuesday (mg):,1520,175,48000
2026-01-06,Tuesday - for Wednesday (mg):,1480,170,46000
2026-01-07,Wednesday - for Thursday (mg):,1440,165,44000
2026-01-08,Thursday - for Friday (mg):,1400,160,42000
2026-01-09,Friday - for Saturday (mg):,1360,155,40000
2026-01-10,Saturday - for Sunday (mg):,1320,150,38000
2026-01-11,Sunday - for Monday (mg):,1280,145,36000
2026-01-12,Monday - for Tuesday (mg):,1240,140,34000
2026-01-13,Tuesday - for Wednesday (mg):,1200,135,32000
2026-01-14,Wednesday - for Thursday (mg):,1160,130,30000
2026-01-15,Thursday - for Friday (mg):,1120,125,28000
2026-01-16,Friday - for Saturday (mg):,1080,120,26000
2026-01-17,Saturday - for Sunday (mg):,1040,115,24000
2026-01-18,Sunday - for Monday (mg):,1000,110,22000
2026-01-19,Monday - for Tuesday (mg):,960,105,20000
2026-01-20,Tuesday - for Wednesday (mg):,920,100,18000
2026-01-21,Wednesday - for Thursday (mg):,880,95,16000
2026-01-22,Thursday - for Friday (mg):,840,90,14000
2026-01-23,Friday - for Saturday (mg):,800,85,12000
2026-01-24,Saturday - for Sunday (mg):,760,80,10000
2026-01-25,Sunday - for Monday (mg):,720,75,8000
2026-01-26,Monday - for Tuesday (mg):,680,70,6000
2026-01-27,Tuesday - for Wednesday (mg):,640,65,4000
2026-01-28,Wednesday - for Thursday (mg):,600,60,2000
2026-01-29,Thursday - for Friday (mg):,560,55,
2026-01-30,Friday - for Saturday (mg):,520,50,
2026-01-31,Saturday - for Sunday (mg):,480,45,
2026-02-01,Sunday - for Monday (mg):,440,40,
2026-02-02,Monday - for Tuesday (mg):,400,35,
2026-02-03,Tuesday - for Wednesday (mg):,360,30,
2026-02-04,Wednesday - for Thursday (mg):,320,25,
2026-02-05,Thursday - for Friday (mg):,280,20,
2026-02-06,Friday - for Saturday (mg):,240,15,
2026-02-07,Saturday - for Sunday (mg):,200,10,
2026-02-08,Sunday - for Monday (mg):,160,5,
2026-02-09,Monday - for Tuesday (mg):,120,,
2026-02-10,Tuesday - for Wednesday (mg):,80,,
2026-02-11,Wednesday - for Thursday (mg):,40,,
2026-02-12,Thursday - for Friday (mg):,,,
2026-02-13,Friday - for Saturday (mg):,,,
2026-02-14,Saturday - for Sunday (mg):,,,
2026-02-15,Sunday - for Monday (mg):,,,
2026-02-16,Monday - for Tuesday (mg):,,,
2026-02-17,Tuesday - for Wednesday (mg):,,,
2026-02-18,Wednesday - for Thursday (mg):,,,
2026-02-19,Thursday - for nan (mg):,,,
